addresses_roadtype_name,addresses_end_street_number,geo_epgs_4326_lon,values_attribute_name,estimated_dates,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,secondary_filters_name,timetable,secondary_filters_tree,start_date,addresses_district_name,end_date,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,geo_epgs_4326_lat,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
,428,2.1836168375384517,Centraleta,,Avinguda Meridiana,Telèfons,8030,61731069,932745490,Barcelona,CAPs,,651,,Sant Andreu,,431792.115,426,﻿92086004861,,True,9,,,60,1,Centre d'Atenció Primària Sant Andreu,209900,1988-03-21T00:00:00,4587167.459,,2023-02-23T11:42:06.100037,65103008000001,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,41.433179262845684,,160627,Sant Andreu,True,20003
,,2.1770261515014084,Centraleta,,Ptge Pau,Telèfons,8002,61731069,93 343 61 40,BARCELONA,CAPs,,651,,Ciutat Vella,,431184.1250511255,1,﻿349141404,,True,1,,,2,2,Centre d'Atenció Primària Gòtic,248006,2000-12-14T00:00:00,4581137.177251075,,2025-10-15T10:15:50.735686,65103008000001,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,41.37881463871673,,130375,el Barri Gòtic,True,20003
,,2.1646130465696833,Centraleta,,C Sant Antoni Maria Claret,Telèfons,8037,61731069,93 208 23 84,BARCELONA,CAPs,,651,,Gràcia,,430173.24129507213,19,﻿99400033989,,True,6,,,32,3,Centre d'Atenció Primària Pare Claret,297001,2003-02-17T12:13:45,4583957.078531049,,2024-06-28T10:49:56.817932,65103008000001,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,41.404125458215425,,205721,el Camp d'en Grassot i Gràcia Nova,True,20003
,,2.1767014377053013,Centraleta,,C Còrsega,Telèfons,8025,61731069,935072700,BARCELONA,CAPs,,651,,Eixample,,431190.08028070786,643,﻿99400063728,,True,2,,,6,4,Centre d'Atenció Primària Sagrada Família,90502,2003-10-22T13:51:20,4584621.637259045,,2022-11-08T12:53:05.311284,65103008000001,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> CAPs,41.41019859412112,,207369,la Sagrada Família,True,20003
,,2.1179951229334635,Centraleta,,Pg Reina Elisenda Montcada,Telèfons,8034,61731068,932522522,BARCELONA,Hospitals i clíniques,,651,,Sarrià-Sant Gervasi,,426269.7233563303,17,﻿75990683269,,True,5,,,23,5,Clínica Creu Blanca,278007,2001-01-06T00:00:00,4583321.108905321,,2023-10-03T10:37:04.793412,65103008000000,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,41.39804905348276,,157501,Sarrià,True,20003
,,2.1870018182458217,Tel.,,C Coroleu,Telèfons,8030,61731068,931165191,BARCELONA,Hospitals i clíniques,,651,,Sant Andreu,,432074.74417885765,44,﻿75990174967,,True,9,,,60,6,Clínica Coroleu,91403,1996-09-18T00:00:00,4587145.148841924,,2023-10-03T10:41:14.291937,65103008000000,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,41.43300227670545,,147305,Sant Andreu,True,20001
,,2.1432939430344455,Tel.,,C Sant Eloi,Telèfons,8038,61731068,932974010,BARCELONA,Hospitals i clíniques,,651,,Sants-Montjuïc,,428338.5142517392,6,﻿99400279672,,True,3,,,13,7,Clínica Sant Antoni,299608,2011-10-06T11:34:12,4578640.233041299,,2025-05-09T14:19:31.779020,65103008000000,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,41.35607713194699,,224552,la Marina de Port,True,20001
,,2.1316073419512267,Tel.,,C Taquígraf Garriga,Telèfons,8014,61731068,934443109,BARCELONA,Hospitals i clíniques,,651,,Les Corts,,427393.88673169137,4,﻿99400264609,92086037833,True,4,,,19,8,Hospital de Dia,330708,2011-02-14T00:00:00,4581937.95464301,"Fundació ACE, Institut Català de Neurociències Aplicades",2018-02-26T09:39:23,65103008000000,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,41.385693845190495,,223268,les Corts,True,20001
,,2.149619802114201,Tel.,,Guillem Tell,Telèfons,8006,61731068,934161616,BARCELONA,Hospitals i clíniques,,651,,Sarrià-Sant Gervasi,,428919.1044955881,4,﻿75990265000,,True,5,,,27,9,Policlínica Barcelona,152508,1996-09-18T00:00:00,4583877.797042982,,2023-10-03T10:41:07.388707,65103008000000,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,41.403301493154544,,149435,el Putxet i el Farró,True,20001
,7,2.1378921010617593,Centraleta,,Plaça d'Alfonso Comín,Telèfons,8023,61731068,932381600,Barcelona,Hospitals i clíniques,,651,,Gràcia,,427952.51686190005,7,﻿75990421973,,True,6,,,28,10,Hospital Quirónsalud Barcelona,701103,1997-03-22T00:00:00,4585264.675886431,,2023-10-03T10:39:20.936697,65103008000000,Planol BCN >> Sanitat >> Hospitals i Centres d'Atenció Primària >> Hospitals i clíniques,41.41570648103171,,153294,Vallcarca i els Penitents,True,20003
